product,rating,review_text
Nimbus Trail 45 Backpack,5,"Held up through a week on the Pacific Crest. Zippers still smooth, no frayed seams, and the hip-belt pocket fits my phone. The only nit is the water-bottle pocket is tight with a Nalgene."
Nimbus Summit 3L Rain Shell,4,"Kept me dry in three days of Oregon rain. The pit zips are a lifesaver. Hood adjustment is fiddly with gloves on."
Nimbus Aurora Headlamp,3,"Bright enough for camp. The battery door squeaks and popped open once in a pack."
Nimbus Horizon Tent 2P,5,"Pitched it solo in 4 minutes on my second try. Two people plus gear fit without any wrestling."
Nimbus Stratus Down Jacket,4,"Real warm for 11 oz. Cuffs curl up after a few washes, which looks rough."
Nimbus Glacier Waterproof Boot M,2,"Leaked by the third wet hike. Returning — support was fast."
Nimbus Trailblaze Trekking Poles,5,"Flick locks haven't slipped once, even with a 35-lb pack. Cork grips beat foam in humid weather."
Nimbus Camp Chef Stove,4,"Boils half a liter in under three minutes. Flame gets finicky above 9k ft."
Nimbus Shoreline Dry Bag 20L,5,"Packed it underwater by accident on a river day. Not a drop inside."
Nimbus Cumulus Sleeping Bag 20F,3,"Comfortable at 35F. Tried it at 25F and I was cold by 4 AM, despite the rating."
Nimbus Ridge Fleece,4,"Great mid-layer. Pills around the collar after a month."
Nimbus Quickstep Trail Runners,5,"Best trail runner I've worn. Grippy on wet rock, drains water fast."
Nimbus Basecamp Duffel 70L,5,"Took a beating on a rental truck and came out clean. Bomb-proof zippers."
Nimbus Kestrel Wind Jacket,2,"Zipper stuck on day one. Low-rated for a flagship wind jacket."
Nimbus Ember Insulated Mug,4,"Kept coffee hot for 3 hours on a cold morning. Lid drips if you don't seat it just right."
Nimbus PeakSight Sunglasses,5,"Polarized lenses are sharp, and the nose pads don't slide on sweaty days."
Nimbus Alpine Gaiters,4,"Kept snow out on a knee-deep approach. Strap buckle is plastic and I worry about it."
Nimbus Trail Daypack 18L,5,"Perfect for a day hike. The hidden back pocket is great for keys and a snack."
Nimbus Glide Ski Mittens,3,"Warm, but wet through after an hour in wet snow."
Nimbus Summit Wool Socks,5,"No blisters on a 20-mile day. Washed hot by mistake and they still fit."
